Directiva 2005/74/CE de la Comisi%oacute%n, de 25 de octubre de 2005, por la que se modifica la Directiva 90/642/CEE del Consejo en lo relativo a los contenidos m%aacute%ximos de residuos de etofumesato, lambda-cialotrina, metomilo, pimetrozina y tiabendazol fijados en la misma (Texto pertinente a efectos del EEE) 
Directiva 2005/74/CE de la Comisión 
de 25 de octubre de 2005 
por la que se modifica la Directiva 90/642/CEE del Consejo en lo relativo a los contenidos máximos de residuos de etofumesato, lambda-cialotrina, metomilo, pimetrozina y tiabendazol fijados en la misma 
(Texto pertinente a efectos del EEE) 
LA COMISIÓN DE LAS COMUNIDADES EUROPEAS, 
Visto el Tratado constitutivo de la Comunidad Europea, 
Vista la Directiva 90/642/CEE del Consejo, de 27 de noviembre de 1990, relativa a la fijación de los contenidos máximos de residuos de plaguicidas en determinados productos de origen vegetal, incluidas las frutas y hortalizas [1], y, en particular, su artículo 7, 
Vista la Directiva 91/414/CEE del Consejo, de 15 de julio de 1991, relativa a la comercialización de productos fitosanitarios [2], y, en particular, su artículo 4, apartado 1, letra f), 
Considerando lo siguiente: 
(1) De conformidad con lo dispuesto en la Directiva 91/414/CEE, la autorización para el empleo de productos fitosanitarios en determinados cultivos es competencia de los Estados miembros. Las autorizaciones deben concederse a la luz de la evaluación de sus efectos sobre la salud humana y la sanidad animal y de su influencia en el medio ambiente. A la hora de realizar estas evaluaciones han de tenerse en cuenta factores tales como la exposición del operario y los transeúntes, el impacto en el medio terrestre, acuático y en la atmósfera, así como las repercusiones que puede tener para los seres humanos y los animales el consumo de los residuos presentes en los cultivos tratados. 
(2) El contenido máximo de residuos refleja la utilización de cantidades mínimas de plaguicidas para conseguir una adecuada protección de las plantas, aplicados de tal modo que la cantidad de residuos sea la menor posible y toxicológicamente aceptable, en particular por lo que se refiere a la ingesta alimentaria estimada. 
(3) Los contenidos máximos de residuos de plaguicidas deben someterse a un seguimiento constante, pudiendo modificarse si los nuevos usos o datos disponibles así lo aconsejan. 
(4) Los contenidos máximos de residuos se fijan en el umbral de determinación analítica cuando los usos autorizados de los productos fitosanitarios no dan lugar a niveles detectables de residuos internos o externos de plaguicidas en los productos alimentarios, cuando no existen usos autorizados, cuando los usos autorizados por los Estados miembros no están suficientemente documentados o cuando no han sido suficientemente documentados los usos hechos en terceros países y que pueden dar lugar a la presencia interna o externa de residuos en productos alimentarios que pueden entrar en el mercado comunitario. 
(5) La Comisión ha recibido información acerca de usos nuevos o modificados de los plaguicidas a que se refiere la Directiva 90/642/CEE, que son el etofumesato, la lambda-cialotrina, el metomilo, la pimetrozina y el tiabendazol. 
En el caso de los plaguicidas lambda-cialotrina, metomilo y pimetrozina, para los que existe una dosis de referencia aguda, la exposición intensa de los consumidores a través de cada uno de los productos alimentarios que pueden contener residuos de los mismos se ha evaluado de acuerdo con los procedimientos y prácticas en uso dentro de la Comunidad Europea, atendiendo a las recomendaciones publicadas por la Organización Mundial de la Salud. Se han tomado en consideración los dictámenes del Comité científico de las plantas, y en especial sus consejos y recomendaciones para la protección de los consumidores de productos alimentarios tratados con plaguicidas. La evaluación de la ingesta de lambda-cialotrina, metomilo y pimetrozina muestra que si se establecen los contenidos máximos de residuos en cuestión, no se excederá la dosis de referencia aguda. En el caso del etofumesato y el tiabendazol, la evaluación de la información disponible muestra que no se requiere dosis de referencia aguda y que, por tanto, no es preciso llevar a cabo una evaluación a corto plazo. 
(6) En consecuencia, conviene establecer nuevos contenidos máximos de residuos de los mencionados plaguicidas. 
(7) A la luz de los avances tecnológicos y científicos, sería conveniente determinar contenidos máximos de residuos específicos para productos que son relativamente nuevos en la Comunidad, como la papaya y la yuca. Por consiguiente, debería modificarse en consecuencia la lista de ejemplos en los grupos especificados en el anexo I de la Directiva 90/642/CEE. 
(8) La fijación o la modificación a escala comunitaria de contenidos máximos de residuos provisionales no impide a los Estados miembros establecer contenidos máximos de residuos provisionales del etofumesato, de conformidad con lo dispuesto en el artículo 4, apartado 1, letra f), de la Directiva 91/414/CEE y en su anexo VI. Se considera que un periodo de cuatro años es suficiente para permitir los usos adicionales de la sustancia activa en cuestión. Después, los contenidos máximos de residuos provisionales deberían pasar a ser definitivos. 
(9) Las medidas previstas en la presente Directiva se ajustan al dictamen del Comité permanente de la cadena alimentaria y de sanidad animal. 
HA ADOPTADO LA PRESENTE DIRECTIVA: 
Artículo 1 
Se añade el término "Papayas" en el anexo I de la Directiva 90/642/CEE, en la categoría 1 [vi) Otras frutas], entre los términos "Aceitunas" y "Frutas de la pasión". Se añade el término "Yucas" al anexo I de la Directiva 90/642/CEE, en la categoría 2 [i) Raíces y tubérculos], entre los términos "Zanahorias" y "Apionabos". 
Artículo 2 
La Directiva 90/642/CEE queda modificada como sigue: 
1) En el anexo II, los contenidos máximos de residuos de los plaguicidas etofumesato, lambda-cialotrina, metomilo, pimetrozina y tiabendazol se sustituyen por los que figuran en el anexo I de la presente Directiva. 
2) En el anexo II, se añaden los contenidos máximos de residuos del plaguicida etofumesato conforme a lo dispuesto en el anexo II de la presente Directiva. 
Artículo 3 
1. Los Estados miembros adoptarán y publicarán, a más tardar el 26 de abril de 2006, las disposiciones legales, reglamentarias y administrativas necesarias para ajustarse a lo dispuesto en la presente Directiva. Comunicarán inmediatamente a la Comisión el texto de las mencionadas disposiciones, así como un cuadro de correspondencias entre las mismas y la presente Directiva. 
Aplicarán dichas disposiciones a partir del 27 de abril de 2006. 
Cuando los Estados miembros adopten tales disposiciones, éstas harán referencia a la presente Directiva o irán acompañadas de dicha referencia en su publicación oficial. Los Estados miembros establecerán las modalidades de la mencionada referencia. 
2. Los Estados miembros comunicarán a la Comisión el texto de las principales disposiciones de Derecho interno que adopten en el ámbito regulado por la presente Directiva. 
Artículo 4 
La presente Directiva entrará en vigor el vigésimo día siguiente al de su publicación en el Diario Oficial de la Unión Europea. 
Artículo 5 
Los destinatarios de la presente Directiva serán los Estados miembros. 
Hecho en Bruselas, el 25 de octubre de 2005. 
Por la Comisión 
Markos Kyprianou 
Miembro de la Comisión 
[1] DO L 350 de 14.12.1990, p. 71. Directiva modificada en último lugar por la Directiva 2005/48/CE de la Comisión (DO L 219 de 24.8.2005, p. 29). 
[2] DO L 230 de 19.8.1991, p. 1. Directiva modificada en último lugar por el Reglamento (CE) no 396/2005 del Parlamento Europeo y del Consejo (DO L 70 de 16.3.2005, p. 1). 
-------------------------------------------------- 
ANEXO I [1] 
Grupos y ejemplos de productos a los que se aplican los contenidos máximos de residuos | Pimetrozina | Lambda-cialotrina | Etofumesato (suma de etofumesato y del metabolito metanosulfonato de 2,3-dihidro-3,3-dimetil-2-oxo-benzofuran-5-ilo calculada en forma de etofumesato) | Metomilo/tiodicarb (suma calculada en forma de metomilo) | Tiabendazol | 
3.Legumbres secas | 0,02 | 0,02 | 0,05 | 0,05 | 0,05 | 
Judías | | | | | | 
Lentejas | | | | | | 
Guisantes | | | | | | 
Otros | | | | | | 
4.Semillas oleaginosas | | 0,02 | 0,1 | | 0,05 | 
Semillas de lino | | | | | | 
Cacahuetes | | | | 0,1 | | 
Semillas de adormidera | | | | | | 
Semillas de sésamo | | | | | | 
Semillas de girasol | | | | | | 
Semillas de colza | | | | | | 
Habas de soja | | | | 0,1 | | 
Semillas de mostaza | | | | | | 
Semillas de algodón | 0,05 | | | 0,1 | | 
Otros | 0,02 | | | 0,05 | | 
5.Patatas | 0,02 | 0,02 | 0,05 | 0,05 | | 
Patatas tempranas | | | | | 0,05 | 
Patatas para almacenar | | | | | 15 | 
6.Té (hojas y tallos desecados, fermentados o no, de Camellia sinensis) | 0,1 | 1 | 0,1 | 0,1 | 0,1 | 
7.Lúpulos (desecado), incluidos los granulados de lúpulo y el polvo no concentrado | 5 | 10 | 0,1 | 10 | 0,1 | 
[1] Para facilitar la lectura, los contenidos máximos de residuos modificados figuran subrayados. 
[2] Indica el límite inferior de determinación analítica. 
[3] Indica que el límite máximo ha sido establecido provisionalmente, de conformidad con el artículo 4, apartado 1, letra f), de la Directiva 91/414/CEE. 
-------------------------------------------------- 
ANEXO II 
Residuos de plaguicidas y contenidos máximos de residuos (mg/kg) | 
Grupos y ejemplos de productos a los que se aplican los contenidos máximos de residuos | Etofumesato (suma de etofumesato y del metabolito metanosulfonato de 2,3-dihidro-3,3-dimetil-2-oxo-benzofuran-5-ilo calculada en forma de etofumesato) | 
8.Especias | 0,5 | 
Semillas de comino | | 
Enebrina | | 
Nuez moscada | | 
Pimienta negra y blanca | | 
Vainilla | | 
Otros | | 
[1] Indica que el límite máximo ha sido establecido provisionalmente, de conformidad con el artículo 4, apartado 1, letra f), de la Directiva 91/414/CEE. 
-------------------------------------------------- 
